actorId,connection,primaryName,averRating,p_index,gender,popularity
nm0000163,"['Adam Sandler', 'Bruce Willis', 'Natalie Portman', 'Robert Downey Jr.', 'Jake Gyllenhaal', 'Scarlett Johansson', 'Samuel L. Jackson', 'Julia Roberts', 'Angelina Jolie', 'John Travolta', 'Emma Watson', 'Morgan Freeman', 'Jackie Chan', 'Tom Cruise', 'Dustin Hoffman', 'Sean Connery']",Dustin Hoffman,6.820930232558139,15,2,9.457977
nm0005377,"['Ben Affleck', 'Anna Kendrick', 'Julia Roberts', 'George Clooney', 'Chloë Grace Moretz', 'Sam Rockwell', 'Jessica Chastain', 'Nicolas Cage']",Sam Rockwell,5.488095238095238,4,2,8.390189
nm0000216,"['Claire Danes', 'Michael Fassbender', 'Arnold Schwarzenegger', 'Sylvester Stallone', 'George Clooney', 'Jackie Chan']",Arnold Schwarzenegger,5.156097560975608,11,2,8.396224
nm0124930,"['Katherine Heigl', 'Michael Shannon', 'Idris Elba', 'Angelina Jolie', 'Gary Oldman', 'Gerard Butler', 'Morgan Freeman', 'Pierce Brosnan', 'Jennifer Aniston', 'Cate Blanchett', 'James Franco']",Gerard Butler,5.326829268292681,9,2,9.983768
nm0000129,"['Penélope Cruz', 'Brad Pitt', 'Dakota Fanning', 'Mark Ruffalo', 'Morgan Freeman', 'Tom Cruise', 'Dustin Hoffman']",Tom Cruise,6.370731707317072,29,2,12.017384
nm0005458,"['Brad Pitt', 'Jessica Alba', 'Jason Statham', 'Sylvester Stallone', 'Dwayne Johnson', 'Rose Byrne', 'Winona Ryder', 'Ice Cube', 'Chris Evans', 'Vin Diesel', 'James Franco']",Jason Statham,5.499999999999997,12,2,12.331521
nm0000899,"['Bruce Willis', 'Monica Bellucci', 'Matt Damon', 'Morgan Freeman']",Monica Bellucci,5.74,3,1,8.208214
nm0000492,"['Michelle Pfeiffer', 'Natalie Portman', 'Samuel L. Jackson', 'Mark Ruffalo', 'Jennifer Jason Leigh']",Jennifer Jason Leigh,6.0275000000000025,5,1,9.922198
nm0000234,"['Kristen Bell', 'Andy Serkis', 'Ben Affleck', 'Penélope Cruz', 'Chris Hemsworth', 'Freddie Highmore', 'Liam Neeson', 'Kristen Stewart', 'Michael Fassbender', 'Tom Hardy', 'Al Pacino', 'Chloë Grace Moretz', 'Johnny Depp', 'Edward Norton', 'Matt Damon', 'Will Smith', 'Mark Wahlberg', 'Tom Hanks', 'Keanu Reeves', 'Charlize Theron', 'James McAvoy', 'Jessica Chastain', 'Nicolas Cage']",Charlize Theron,6.2475,15,1,12.101441000000001
nm0424060,"['Natalie Portman', 'Robert Downey Jr.', 'Scarlett Johansson', 'Samuel L. Jackson', 'Hugh Jackman', 'Ewan McGregor', 'John Travolta', 'Matt Damon', 'Morgan Freeman', 'Chris Evans', 'Dustin Hoffman']",Scarlett Johansson,5.6923076923076925,18,1,19.558434
nm0001191,"['Adam Sandler', 'Penélope Cruz', 'Al Pacino', 'Salma Hayek', 'Winona Ryder', 'Mark Wahlberg', 'Jennifer Aniston', 'Dustin Hoffman']",Adam Sandler,5.610256410256411,12,2,8.880203
nm0000255,"['J.K. Simmons', 'Ben Affleck', 'Bruce Willis', 'Rachel McAdams', 'Sandra Bullock', 'Diane Lane', 'Samuel L. Jackson', 'Anna Kendrick', 'Matt Damon', 'Morgan Freeman', 'Henry Cavill', 'Sam Rockwell', 'Jeremy Irons', 'Charlize Theron']",Ben Affleck,5.655263157894736,15,2,8.795425999999999
nm0000098,"['Adam Sandler', 'Jake Gyllenhaal', 'Anna Kendrick', 'Julia Roberts', 'Mark Ruffalo', 'Gerard Butler', 'Morgan Freeman', 'Vin Diesel', 'Mark Wahlberg', 'Jennifer Aniston']",Jennifer Aniston,5.3315789473684205,6,1,10.206113
nm0001401,"['Brad Pitt', 'Angelina Jolie', 'Johnny Depp', 'Matt Damon', 'Winona Ryder', 'Gerard Butler', 'Will Smith', 'Morgan Freeman', 'Jackie Chan', 'Robin Wright', 'Dustin Hoffman', 'Cate Blanchett', 'James McAvoy', 'Nicolas Cage']",Angelina Jolie,5.532432432432432,11,1,10.784771000000001
nm0000293,"['Chris Hemsworth', 'Sean Bean', 'Harrison Ford', 'Pierce Brosnan', 'Nicolas Cage']",Sean Bean,6.110810810810813,11,2,11.796318
nm0749263,"['Andy Serkis', 'Tom Hiddleston', 'Chris Hemsworth', 'Robert Downey Jr.', 'Rachel McAdams', 'Leonardo DiCaprio', 'Jake Gyllenhaal', 'Mark Ruffalo', 'Matt Damon', 'Jennifer Jason Leigh', 'Chris Evans', 'Tom Cruise', 'Jennifer Aniston', 'Cate Blanchett']",Mark Ruffalo,6.2638888888888875,16,2,8.208924
