actorId,connection,common_movies
nm0350453,"['nm0000204', 'nm0000375', 'nm1046097', 'nm0788335', 'nm0350453', 'nm0447695', 'nm0413168', 'nm0749263', 'nm0000098', 'nm1212722', 'nm0000163', 'nm0001467', 'nm1567113']","['Brothers', 'Zodiac', 'Southpaw', 'Nocturnal Animals', 'None', 'End of Watch', 'Prisoners', 'Zodiac', 'The Good Girl', 'Rio', 'Moonlight Mile', 'Highway', 'The Division']"
nm0001084,"['nm0000123', 'nm0000168', 'nm0001084', 'nm0005458', 'nm0000242']","['Three Kings', 'xXx: State of the Union', 'None', 'Ghosts of Mars', 'Three Kings']"
nm0000161,"['nm0001191', 'nm0004851', 'nm0004695', 'nm0000553', 'nm0000161', 'nm0000237', 'nm0000136', 'nm0000226', 'nm0000112', 'nm0001467']","['Grown Ups', 'Bandidas', 'Some Kind of Beautiful', 'The Prophet', 'None', 'Lonely Hearts', 'Once Upon a Time in Mexico', 'Wild Wild West', 'Some Kind of Beautiful', 'Lonely Hearts']"
nm0000213,"['nm0000132', 'nm0001191', 'nm0000201', 'nm0000204', 'nm0004695', 'nm0000375', 'nm0788335', 'nm0005458', 'nm0001401', 'nm0000198', 'nm0000136', 'nm0000213', 'nm0262635', 'nm0000206', 'nm0000705', 'nm0000460', 'nm0290556']","['Little Women', 'Mr. Deeds', 'The Age of Innocence', 'Black Swan', 'The Ten', 'A Scanner Darkly', 'The Iceman', 'Homefront', 'Girl, Interrupted', ""Bram Stoker's Dracula"", 'Edward Scissorhands', 'None', 'The Iceman', 'A Scanner Darkly', 'The Private Lives of Pippa Lee', 'The House of the Spirits', 'The Iceman']"
nm0000226,"['nm0425005', 'nm0000161', 'nm0935541', 'nm0001570', 'nm0000354', 'nm0000982', 'nm0001467', 'nm0000234', 'nm0000226', 'nm0001401']","['Suicide Squad 2', 'Wild Wild West', 'Gemini Man', 'Collateral Beauty', 'The Legend of Bagger Vance', 'Men in Black 3', 'Suicide Squad', 'Hancock', 'None', 'Shark Tale']"
nm0000170,"['nm0000154', 'nm0000246', 'nm0000168', 'nm0000170', 'nm0000198', 'nm0001570', 'nm0000112', 'nm0290556']","['The Million Dollar Hotel', 'The Fifth Element', 'No Good Deed', 'None', 'The Fifth Element', 'Stone', 'Survivor', 'Future World']"
nm0788335,"['nm1165110', 'nm0829576', 'nm0788335', 'nm0350453', 'nm0000178', 'nm1020089', 'nm0266824', 'nm0000213', 'nm0124930', 'nm0262635', 'nm0147147', 'nm1212722', 'nm0290556', 'nm1567113']","['12 Strong', 'The Runaways', 'None', 'Nocturnal Animals', 'Man of Steel', 'The Shape of Water', 'The Runaways', 'The Iceman', 'Machine Gun Preacher', 'The Iceman', 'Man of Steel', 'The Current War', 'The Broken Tower', 'Take Shelter']"
nm0000982,"['nm0000123', 'nm0000168', 'nm0000354', 'nm0000982', 'nm1165110', 'nm0000226', 'nm0004695', 'nm1055413', 'nm1567113']","['Hail, Caesar!', 'Old Boy', 'True Grit', 'None', 'Untitled Avengers Movie', 'Men in Black 3', 'Sin City: A Dame to Kill For', 'Jonah Hex', 'George and Tammy']"
nm0799777,"['nm0799777', 'nm0000255', 'nm0000093', 'nm1297015', 'nm0447695', 'nm0000210', 'nm2552034', 'nm0413168', 'nm0126284', 'nm0000242', 'nm0000158', 'nm0000460']","['None', 'The Batman', 'The Mexican', 'La La Land', 'The Accountant', 'The Mexican', 'Whiplash', 'The Front Runner', 'The Meddler', 'Patriots Day', 'The Ladykillers', 'The Batman']"
nm0185819,"['nm0000113', 'nm0785227', 'nm0185819', 'nm1200692', 'nm0000148', 'nm0362766']","['Infamous', 'The Adventures of Tintin', 'None', 'Casino Royale', 'Cowboys & Aliens', 'Layer Cake']"
