actorId,primaryName,validCount,averRating,averVote
nm1150964,M.P. Shankar,7,8.357142857142858,180.14285714285714
nm0292471,Jane Frazee,29,6.372413793103448,180.06896551724137
nm0062671,Amy Lynn Baxter,8,4.4125,180.0
nm1120469,Marian Rálea,4,6.525,180.0
nm2687747,Timur Badalbeyli,3,6.2,180.0
nm0055275,Reginald Barlow,3,5.133333333333334,180.0
nm1160577,María Ucedo,3,6.266666666666667,180.0
nm0196724,Tatum Dagelet,3,5.466666666666666,180.0
nm1050684,Giorgos Vasileiou,3,4.166666666666667,180.0
nm1518150,Mike Stoklasa,3,8.566666666666668,180.0
nm1585632,Rae-yeon Kang,3,6.366666666666667,180.0
nm0390738,Josh Holland,3,4.4,180.0
nm0883199,Lester Vail,5,5.88,180.0
nm4323217,John Wells,3,5.733333333333333,180.0
nm0875256,Masahiko Tsugawa,38,6.657894736842104,179.94736842105263
nm0697583,Núria Prims,9,5.977777777777778,179.88888888888889
nm0576888,Eva Maria Meineke,9,6.711111111111112,179.88888888888889
nm0495764,Tony Leblanc,42,5.549999999999999,179.85714285714286
nm0173052,Felipe Colombo,7,6.442857142857142,179.85714285714286
nm0791516,Valentina Shendrikova,7,6.557142857142857,179.85714285714286
nm1702333,Jacek Borusinski,6,5.383333333333333,179.83333333333334
nm0162123,Magdalena Cielecka,17,5.794117647058824,179.8235294117647
nm1416172,Francisca Lewin,5,6.459999999999999,179.8
nm3975594,Nasim Adabi,4,6.449999999999999,179.75
nm0854368,Valentina Telichkina,19,7.094736842105264,179.73684210526315
nm0892777,Gabriela Velásquez,3,5.8,179.66666666666666
nm2110232,Alba August,3,5.5,179.66666666666666
nm4727722,Juri Winkler,3,6.633333333333333,179.66666666666666
nm0653802,Park Overall,3,5.566666666666666,179.66666666666666
nm6532163,Anton Petzold,3,6.633333333333333,179.66666666666666
nm1695816,Sandra Dewi,3,4.333333333333333,179.66666666666666
nm5893228,Dan Nye,3,5.1000000000000005,179.66666666666666
nm0077449,Jackie Berroyer,21,5.776190476190475,179.61904761904762
nm0784883,Lucija Serbedzija,7,6.571428571428571,179.57142857142858
nm4027847,Bhagath Baby Manuel,9,4.966666666666667,179.55555555555554
nm0237708,Roland Drew,9,6.166666666666667,179.55555555555554
nm0992937,Jeanie Chang,4,6.2,179.5
nm0399048,Su Ying Huang,6,6.816666666666666,179.5
nm0569465,Frank McGlynn Jr.,4,6.375,179.5
nm0657025,Ksenija Pajic,8,7.424999999999999,179.5
nm0199986,John Daniels,4,6.125,179.5
nm0557287,Bryan Massey,4,5.025,179.5
nm1508045,Jong-hyuk Lee,7,5.742857142857143,179.42857142857142
nm0297799,Jerry Fujio,7,6.700000000000001,179.42857142857142
nm0664687,Frédéric de Pasquale,10,6.38,179.4
nm0482273,Predrag Lakovic,5,6.720000000000001,179.4
nm1500517,Penpak Sirikul,10,6.080000000000001,179.4
nm0095693,Edwina Booth,5,6.340000000000001,179.4
nm0014718,Norman Anstey,5,5.300000000000001,179.4
nm1285394,Ekaterina Guseva,13,5.738461538461538,179.3846153846154
nm0924442,Alice White,21,6.823809523809522,179.38095238095238
nm0204843,Joan Davis,27,6.425925925925928,179.37037037037038
nm2925389,Carole Weyers,3,5.133333333333333,179.33333333333334
nm2727871,Dan Liu,3,5.833333333333333,179.33333333333334
nm0843722,Miklós Szakáts,3,7.133333333333334,179.33333333333334
nm5227493,Anne Grete Nissen,3,4.8,179.33333333333334
nm4292470,Hsueh-Feng Lu,3,6.633333333333333,179.33333333333334
nm2411784,David Fynn,3,5.8,179.33333333333334
nm0887511,Hilde Van Mieghem,13,6.038461538461539,179.30769230769232
nm4584689,Sunil Sukhada,12,5.449999999999999,179.25
nm1480511,Natsuko Akiyama,4,6.775,179.25
nm0954157,Lucie Zednícková,5,6.94,179.2
nm0956249,Luis Ziembrowski,11,6.172727272727272,179.1818181818182
nm0691324,Andrei Popov,17,7.070588235294117,179.1764705882353
nm0088625,Jonas Bloch,18,6.1,179.16666666666666
nm0933281,Debra Wilson,11,6.045454545454546,179.0909090909091
nm1171492,Morteza Ahmadi,15,6.52,179.06666666666666
nm0088393,Ulrike Bliefert,3,6.599999999999999,179.0
nm0620811,Nandini,3,6.933333333333334,179.0
nm0863740,Tamara Timofeeva,3,6.366666666666667,179.0
nm1073235,Markos Lezes,6,4.966666666666667,179.0
nm0812830,Wolfango Soldati,3,6.366666666666667,179.0
nm0628054,Daniel Newman,3,5.8999999999999995,179.0
nm0472650,Agnieszka Krukówna,5,5.779999999999999,179.0
nm0841842,Maureen Swanson,4,6.35,179.0
nm1000342,Muhip Arciman,8,5.5,179.0
nm0348168,Dennis Gunn,3,5.933333333333333,179.0
nm0450326,Ellen Kessler,3,5.666666666666667,179.0
nm0911314,John Warburton,3,6.966666666666666,179.0
nm0034301,Rosita Arenas,32,6.062499999999999,178.96875
nm0002326,Al Sapienza,13,4.815384615384615,178.92307692307693
nm0760121,Candy Samples,17,5.405882352941176,178.88235294117646
nm0457204,Keiko Kishi,25,6.74,178.88
nm0001678,Roy Rogers,87,6.4287356321839075,178.8735632183908
nm0498046,Reggie Lee,6,4.716666666666666,178.83333333333334
nm4591912,Dada Chan,12,5.183333333333334,178.83333333333334
nm2347196,Subodh Bhave,29,7.224137931034482,178.82758620689654
nm0232574,Yolande Donlan,10,5.839999999999999,178.8
nm2182605,Astrid Whettnall,4,6.175000000000001,178.75
nm2973513,Linda Bella,7,4.857142857142857,178.71428571428572
nm0407357,Zentaro Iijima,3,7.233333333333333,178.66666666666666
nm0544850,Luiza Maranhão,3,7.033333333333334,178.66666666666666
nm0557148,Yves Massard,6,6.05,178.66666666666666
